num_samples,max_features,stopwords,lime_num_samples,shots,accuracy,lime_time_avg,qlime_time_avg,overlap_avg
500,15,True,300,,0.59,2.2995,0.0613,3.2
500,15,True,300,100.0,0.68,1.4782,0.0941,3.0
500,15,False,300,,0.5,2.0431,0.2465,2.4
500,15,False,300,100.0,0.52,2.1703,0.2929,2.4
500,10,True,300,,0.66,2.6041,0.0387,3.4
500,10,True,300,100.0,0.49,1.6234,0.0336,2.8
500,10,False,300,,0.43,1.3257,0.0661,2.6
500,10,False,300,100.0,0.4,1.8653,0.0922,2.6
500,5,True,300,,0.53,1.8311,0.0083,2.4
500,5,True,300,100.0,0.53,1.3759,0.0225,2.8
500,5,False,300,,0.54,1.7608,0.0218,4.6
500,5,False,300,100.0,0.48,2.0329,0.0394,4.8
